,ID,ID2,Geographic.Area.Name,PERCPOV,PERCWHT,PERCBLK,PERCVAC,PERC25K,PERC75K,PERCNOHS,pri_neigh
103,1.70E+11,1500000US170310306041,"Block Group 1, Census Tract 306.04, Cook County, Illinois",11.23188406,47.54768392,11.71662125,17.35378715,19.95359629,22.15777262,4.711616572,Edgewater
104,1.70E+11,1500000US170310306043,"Block Group 3, Census Tract 306.04, Cook County, Illinois",37.38317757,40.2200489,51.71149144,8.235294118,70.6959707,4.395604396,10.4524181,Edgewater
105,1.70E+11,1500000US170310307011,"Block Group 1, Census Tract 307.01, Cook County, Illinois",28.20512821,54.83076923,26.89230769,8.299595142,29.24944812,18.54304636,13.7755102,Edgewater
106,1.70E+11,1500000US170310307021,"Block Group 1, Census Tract 307.02, Cook County, Illinois",6.37254902,64.91416309,2.575107296,12.48185776,16.25207297,35.32338308,2.926829268,Edgewater
107,1.70E+11,1500000US170310307022,"Block Group 2, Census Tract 307.02, Cook County, Illinois",24.91103203,68.41282252,1.485535575,10.21671827,30,26.20689655,3.859060403,Edgewater
108,1.70E+11,1500000US170310307031,"Block Group 1, Census Tract 307.03, Cook County, Illinois",19.65811966,79.89071038,10.6010929,7.912457912,43.32723949,29.61608775,20,
109,1.70E+11,1500000US170310307032,"Block Group 2, Census Tract 307.03, Cook County, Illinois",48.7804878,83.14393939,12.5,13.54401806,70.75718016,10.18276762,22.8962818,
110,1.70E+11,1500000US170310307033,"Block Group 3, Census Tract 307.03, Cook County, Illinois",2.621722846,58.84308511,25.93085106,7.676130389,23.34851936,23.57630979,4.25716768,Edgewater
111,1.70E+11,1500000US170310307062,"Block Group 2, Census Tract 307.06, Cook County, Illinois",5.46875,50.60240964,28.45227062,20.86049544,28.17133443,17.95716639,8.465608466,Edgewater
112,1.70E+11,1500000US170310308001,"Block Group 1, Census Tract 308, Cook County, Illinois",0,70.95179234,2.348578492,18.66913124,12.95454545,28.63636364,3.10880829,
113,1.70E+11,1500000US170310308002,"Block Group 2, Census Tract 308, Cook County, Illinois",0,89.22018349,7.110091743,14.88673139,11.97718631,47.71863118,9.724770642,
114,1.70E+11,1500000US170310308003,"Block Group 3, Census Tract 308, Cook County, Illinois",5.384615385,85.32751092,1.222707424,7.068965517,2.597402597,49.72170686,6.724511931,
115,1.70E+11,1500000US170310308004,"Block Group 4, Census Tract 308, Cook County, Illinois",0,71.99558986,1.653803749,0,2.471910112,56.40449438,0,
116,1.70E+11,1500000US170310309001,"Block Group 1, Census Tract 309, Cook County, Illinois",0,94.95192308,0.240384615,12.22707424,4.47761194,61.19402985,5.413105413,
117,1.70E+11,1500000US170310309002,"Block Group 2, Census Tract 309, Cook County, Illinois",10,68.87931034,13.44827586,6.161971831,17.07317073,39.2120075,6.438213915,
118,1.70E+11,1500000US170310309003,"Block Group 3, Census Tract 309, Cook County, Illinois",4.621848739,81.44126357,2.764067127,10.34482759,14.18269231,70.67307692,14.89637306,
119,1.70E+11,1500000US170310309004,"Block Group 4, Census Tract 309, Cook County, Illinois",0,91.24767225,0,6.02006689,0,48.7544484,0,
120,1.70E+11,1500000US170310310001,"Block Group 1, Census Tract 310, Cook County, Illinois",7.638888889,78.74186551,0.867678959,0,8.415841584,38.11881188,9.155937053,
121,1.70E+11,1500000US170310310002,"Block Group 2, Census Tract 310, Cook County, Illinois",10.35598706,78.49462366,8.198924731,10.59907834,18.81443299,38.01546392,5.792682927,
122,1.70E+11,1500000US170310310003,"Block Group 3, Census Tract 310, Cook County, Illinois",0,88.84435538,3.80761523,0,2.93398533,40.09779951,3.090128755,
123,1.70E+11,1500000US170310311001,"Block Group 1, Census Tract 311, Cook County, Illinois",0,71.87337831,2.490918526,7.530454042,14.25149701,58.20359281,7.313915858,
124,1.70E+11,1500000US170310311002,"Block Group 2, Census Tract 311, Cook County, Illinois",24.47916667,70.9106985,5.658709107,0,31.27147766,16.49484536,2.900232019,Uptown
125,1.70E+11,1500000US170310311003,"Block Group 3, Census Tract 311, Cook County, Illinois",0,82.9723225,3.85078219,5.098855359,9.100877193,35.0877193,7.73620799,
126,1.70E+11,1500000US170310312001,"Block Group 1, Census Tract 312, Cook County, Illinois",0,84.77722772,0,18.98734177,17.1875,44.7265625,5.693430657,Uptown
127,1.70E+11,1500000US170310312002,"Block Group 2, Census Tract 312, Cook County, Illinois",28.5077951,29.51464801,29.3834718,0,29.49101796,15.71856287,14.46582614,Uptown
128,1.70E+11,1500000US170310312003,"Block Group 3, Census Tract 312, Cook County, Illinois",27.30263158,73.07001795,22.02274087,6.962025316,49.65986395,2.040816327,35.51401869,
129,1.70E+11,1500000US170310312004,"Block Group 4, Census Tract 312, Cook County, Illinois",8.333333333,34.14940364,23.16384181,12.7919911,27.55102041,26.65816327,43.01327088,
130,1.70E+11,1500000US170310313001,"Block Group 1, Census Tract 313, Cook County, Illinois",12.17391304,81.04265403,15.75829384,6.743737958,23.96694215,13.84297521,22.31812577,
131,1.70E+11,1500000US170310313002,"Block Group 2, Census Tract 313, Cook County, Illinois",25.2688172,63.54088522,21.75543886,3.943044907,16.19156214,17.331813,3.736654804,Uptown
132,1.70E+11,1500000US170310313003,"Block Group 3, Census Tract 313, Cook County, Illinois",37.68115942,41.01610905,0,0,49.46236559,36.29032258,7.884615385,
133,1.70E+11,1500000US170310313004,"Block Group 4, Census Tract 313, Cook County, Illinois",13.04347826,39.93421053,33.22368421,3.524533518,44.84240688,18.05157593,15.83673469,Uptown
134,1.70E+11,1500000US170310313005,"Block Group 5, Census Tract 313, Cook County, Illinois",15.2173913,58.82352941,14.62021702,10.82180635,15.60218978,18.52189781,1.075268817,
135,1.70E+11,1500000US170310314001,"Block Group 1, Census Tract 314, Cook County, Illinois",0,86.04135894,5.834564254,10.96023278,17.21132898,25.16339869,2.454473476,Uptown
136,1.70E+11,1500000US170310314002,"Block Group 2, Census Tract 314, Cook County, Illinois",0,68.06722689,4.537815126,16.43286573,24.46043165,34.5323741,10.37181996,Uptown
137,1.70E+11,1500000US170310314003,"Block Group 3, Census Tract 314, Cook County, Illinois",8.854166667,72.52252252,8.018018018,21.97802198,22.22222222,19.71830986,1.513513514,Uptown
138,1.70E+11,1500000US170310314005,"Block Group 5, Census Tract 314, Cook County, Illinois",0,78.55648536,3.765690377,6.832298137,10.5,49.66666667,0,
139,1.70E+11,1500000US170310314006,"Block Group 6, Census Tract 314, Cook County, Illinois",9.139784946,62.87878788,10.82251082,7.652173913,11.11111111,31.45009416,5.707491082,Uptown
140,1.70E+11,1500000US170310315011,"Block Group 1, Census Tract 315.01, Cook County, Illinois",19.51219512,42.73412271,30.67814855,6.542056075,52.4,1.2,24.41717791,Uptown
141,1.70E+11,1500000US170310315012,"Block Group 2, Census Tract 315.01, Cook County, Illinois",26.54320988,48.35419564,24.24663885,5.177664975,33.19057816,17.77301927,21.53644123,Uptown
142,1.70E+11,1500000US170310315013,"Block Group 3, Census Tract 315.01, Cook County, Illinois",34.07407407,36.16714697,44.09221902,6.225680934,43.36099585,5.809128631,11.48897059,Uptown
143,1.70E+11,1500000US170310315021,"Block Group 1, Census Tract 315.02, Cook County, Illinois",0,80.0832755,8.53573907,16.35514019,16.75977654,27.09497207,14.18047882,Uptown
144,1.70E+11,1500000US170310315022,"Block Group 2, Census Tract 315.02, Cook County, Illinois",41.29032258,46.01941748,21.06796117,3.427719821,49.53703704,8.796296296,19.33570581,Uptown
145,1.70E+11,1500000US170310315023,"Block Group 3, Census Tract 315.02, Cook County, Illinois",47.61904762,25.17385257,65.878535,0,70.42532146,5.637982196,9.170946442,Uptown
146,1.70E+11,1500000US170310317001,"Block Group 1, Census Tract 317, Cook County, Illinois",35.31746032,65.40905481,22.35901509,1.410788382,39.14141414,14.56228956,7.721587819,Uptown
147,1.70E+11,1500000US170310317002,"Block Group 2, Census Tract 317, Cook County, Illinois",3.703703704,66.85673557,21.0976479,11.42568251,44.52054795,30.82191781,5.892700088,Uptown
148,1.70E+11,1500000US170310317003,"Block Group 3, Census Tract 317, Cook County, Illinois",0,71.19944212,19.38633194,11.94184839,8.372641509,38.08962264,5.238095238,Uptown
149,1.70E+11,1500000US170310317004,"Block Group 4, Census Tract 317, Cook County, Illinois",43.01075269,66.01398601,29.65034965,7.963446475,17.44680851,26.09929078,7.436399217,Uptown
150,1.70E+11,1500000US170310318001,"Block Group 1, Census Tract 318, Cook County, Illinois",0,80.88935945,2.858655373,5.598455598,8.99795501,43.45603272,3.204272363,
151,1.70E+11,1500000US170310319001,"Block Group 1, Census Tract 319, Cook County, Illinois",0,76.9778481,13.21202532,3.805175038,13.44936709,28.32278481,5.549949546,
152,1.70E+11,1500000US170310319002,"Block Group 2, Census Tract 319, Cook County, Illinois",6.113537118,79.05718702,2.936630603,6.451612903,7.680250784,37.77429467,8.31702544,
